id,code,name
stps_sector_1,11,"AGRICULTURA, GANADERÍA, APROVECHAMIENTO FORESTAL, PESCA Y CAZA"
stps_sector_2,21,MINERÍA
stps_sector_3,22,"ELECTRICIDAD, AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL"
stps_sector_4,23,CONSTRUCCIÓN
stps_sector_5,31,INDUSTRIAS MANUFACTURERAS
stps_sector_6,43,COMERCIO AL POR MAYOR
stps_sector_7,46,COMERCIO AL POR MENOR
stps_sector_8,48,"TRANSPORTES, CORREOS Y ALMACENAMIENTO"
stps_sector_9,51,INFORMACIÓN EN MEDIOS MASIVOS
stps_sector_10,52,SERVICIOS FINANCIEROS Y DE SEGUROS
stps_sector_11,53,SERVICIOS INMOBILIARIOS Y DE ALQUILER DE BIENES MUEBLES E INTANGIBLES
stps_sector_12,54,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
stps_sector_13,55,DIRECCIÓN DE CORPORATIVOS Y EMPRESAS
stps_sector_14,56,SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACIÓN
stps_sector_15,61,SERVICIOS EDUCATIVOS
stps_sector_16,62,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL
stps_sector_17,71,"SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS, Y OTROS SERVICIOS RECREATIVOS"
stps_sector_18,72,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACIÓN DE ALIMENTOS Y BEBIDAS
stps_sector_19,81,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO
stps_sector_20,93,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES
stps_sector_21,111,AGRICULTURA
stps_sector_22,112,GANADERÍA
stps_sector_23,113,APROVECHAMIENTO FORESTAL
stps_sector_24,114,"PESCA, CAZA Y CAPTURA"
stps_sector_25,115,SERVICIOS RELACIONADOS CON LAS ACTIVIDADES AGROPECUARIAS Y FORESTALES
stps_sector_26,211,EXTRACCIÓN DE PETRÓLEO Y GAS
stps_sector_27,212,"MINERÍA DE MINERALES METÁLICOS Y NO METÁLICOS, EXCEPTO PETRÓLEO Y GAS"
stps_sector_28,213,SERVICIOS RELACIONADOS CON LA MINERÍA
stps_sector_29,221,"GENERACIÓN, TRANSMISIÓN Y SUMINISTRO DE ENERGÍA ELÉCTRICA."
stps_sector_30,222,AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL.
stps_sector_31,236,EDIFICACIÓN
stps_sector_32,237,CONSTRUCCIÓN DE OBRAS DE INGENIERÍA CIVIL U OBRA PESADA
stps_sector_33,238,TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCIÓN
stps_sector_34,311,INDUSTRIA ALIMENTARIA
stps_sector_35,312,INDUSTRIA DE LAS BEBIDAS Y DEL TABACO
stps_sector_36,313,FABRICACIÓN DE INSUMOS TEXTILES
stps_sector_37,314,"CONFECCIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR"
stps_sector_38,315,FABRICACIÓN DE PRENDAS DE VESTIR
stps_sector_39,316,"FABRICACIÓN DE PRODUCTOS DE CUERO, PIEL Y MATERIALES SUCEDÁNEOS, EXCEPTO PRENDAS DE VESTIR"
stps_sector_40,321,INDUSTRIA DE LA MADERA
stps_sector_41,322,INDUSTRIA DEL PAPEL
stps_sector_42,323,IMPRESIÓN E INDUSTRIAS CONEXAS
stps_sector_43,324,FABRICACIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO Y DEL CARBÓN
stps_sector_44,325,INDUSTRIA QUÍMICA
stps_sector_45,326,INDUSTRIA DEL PLÁSTICO Y DEL HULE
stps_sector_46,327,FABRICACIÓN DE PRODUCTOS A BASE DE MINERALES NO METÁLICOS
stps_sector_47,331,INDUSTRIAS METÁLICAS BÁSICAS
stps_sector_48,332,FABRICACIÓN DE PRODUCTOS METÁLICOS
stps_sector_49,333,FABRICACIÓN DE MAQUINARIA Y EQUIPO
stps_sector_50,334,"FABRICACIÓN DE EQUIPO DE COMPUTACIÓN, COMUNICACIÓN, MEDICIÓN Y DE OTROS EQUIPOS, COMPONENTES Y ACCESORIOS ELECTRÓNICOS"
stps_sector_51,335,FABRICACIÓN DE EQUIPO DE GENERACIÓN ELÉCTRICA Y APARATOS Y ACCESORIOS ELÉCTRICOS
stps_sector_52,336,FABRICACIÓN DE EQUIPO DE TRANSPORTE
stps_sector_53,337,FABRICACIÓN DE MUEBLES Y PRODUCTOS RELACIONADOS
stps_sector_54,339,OTRAS INDUSTRIAS MANUFACTURERAS
stps_sector_55,431,"COMERCIO AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO."
stps_sector_56,432,COMERCIO AL POR MAYOR DE PRODUCTOS TEXTILES Y CALZADO.
stps_sector_57,433,"COMERCIO AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, DE PERFUMERÍA, ACCESORIOS DE VESTIR, ARTÍCULOS PARA EL ESPARCIMIENTO Y ELECTRODOMÉSTICOS."
stps_sector_58,434,"COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS, PARA LA INDUSTRIA Y MATERIALES DE DESECHO."
stps_sector_59,435,"COMERCIO AL POR MAYOR DE MAQUINARIA, MOBILIARIO Y EQUIPO PARA ACTIVIDADES AGROPECUARIAS, INDUSTRIALES Y DE SERVICIOS."
stps_sector_60,436,COMERCIO AL POR MAYOR DE CAMIONES.
stps_sector_61,437,INTERMEDIACIÓN Y COMERCIO AL POR MAYOR POR MEDIOS MASIVOS DE COMUNICACIÓN Y OTROS MEDIOS.
stps_sector_62,461,"COMERCIO AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO."
stps_sector_63,462,COMERCIO AL POR MENOR EN TIENDAS DE AUTOSERVICIO Y DEPARTAMENTALES.
stps_sector_64,463,"COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES, ACCESORIOS DE VESTIR Y CALZADO."
stps_sector_65,464,COMERCIO AL POR MENOR DE ARTÍCULOS PARA EL CUIDADO DE LA SALUD.
