id,code,country_code,name
stps_state_1,AGU,MEX,Aguascalientes
stps_state_2,BCN,MEX,Baja California
stps_state_3,BCS,MEX,Baja California Sur
stps_state_4,CAM,MEX,Campeche
stps_state_5,CHP,MEX,Chiapas
stps_state_6,CHH,MEX,Chihuahua
stps_state_7,COA,MEX,Coahuila
stps_state_8,COL,MEX,Colima
stps_state_9,DIF,MEX,Ciudad de México
stps_state_10,DUR,MEX,Durango
stps_state_11,GUA,MEX,Guanajuato
stps_state_12,GRO,MEX,Guerrero
stps_state_13,HID,MEX,Hidalgo
stps_state_14,JAL,MEX,Jalisco
stps_state_15,MEX,MEX,Estado de México
stps_state_16,MIC,MEX,Michoacán
stps_state_17,MOR,MEX,Morelos
stps_state_18,NAY,MEX,Nayarit
stps_state_19,NLE,MEX,Nuevo León
stps_state_20,OAX,MEX,Oaxaca
stps_state_21,PUE,MEX,Puebla
stps_state_22,QUE,MEX,Querétaro
stps_state_23,ROO,MEX,Quintana Roo
stps_state_24,SLP,MEX,San Luis Potosí
stps_state_25,SIN,MEX,Sinaloa
stps_state_26,SON,MEX,Sonora
stps_state_27,TAB,MEX,Tabasco
stps_state_28,TAM,MEX,Tamaulipas
stps_state_29,TLA,MEX,Tlaxcala
stps_state_30,VER,MEX,Veracruz
stps_state_31,YUC,MEX,Yucatán
stps_state_32,ZAC,MEX,Zacatecas
stps_state_33,AL,USA,Alabama
stps_state_34,AK,USA,Alaska
stps_state_35,AZ,USA,Arizona
stps_state_36,AR,USA,Arkansas
stps_state_37,CA,USA,California
stps_state_38,NC,USA,Carolina del Norte
stps_state_39,SC,USA,Carolina del Sur
stps_state_40,CO,USA,Colorado
stps_state_41,CT,USA,Connecticut
stps_state_42,ND,USA,Dakota del Norte
stps_state_43,SD,USA,Dakota del Sur
stps_state_44,DE,USA,Delaware
stps_state_45,FL,USA,Florida
stps_state_46,GA,USA,Georgia
stps_state_47,HI,USA,Hawái
stps_state_48,ID,USA,Idaho
stps_state_49,IL,USA,Illinois
stps_state_50,IN,USA,Indiana
stps_state_51,IA,USA,Iowa
stps_state_52,KS,USA,Kansas
stps_state_53,KY,USA,Kentucky
stps_state_54,LA,USA,Luisiana
stps_state_55,ME,USA,Maine
stps_state_56,MD,USA,Maryland
stps_state_57,MA,USA,Massachusetts
stps_state_58,MI,USA,Míchigan
stps_state_59,MN,USA,Minnesota
stps_state_60,MS,USA,Misisipi
stps_state_61,MO,USA,Misuri
stps_state_62,MT,USA,Montana
stps_state_63,NE,USA,Nebraska
stps_state_64,NV,USA,Nevada
stps_state_65,NJ,USA,Nueva Jersey
stps_state_66,NY,USA,Nueva York
stps_state_67,NH,USA,Nuevo Hampshire
stps_state_68,NM,USA,Nuevo México
stps_state_69,OH,USA,Ohio
stps_state_70,OK,USA,Oklahoma
stps_state_71,OR,USA,Oregón
stps_state_72,PA,USA,Pensilvania
stps_state_73,RI,USA,Rhode Island
stps_state_74,TN,USA,Tennessee
stps_state_75,TX,USA,Texas
stps_state_76,UT,USA,Utah
stps_state_77,VT,USA,Vermont
stps_state_78,VA,USA,Virginia
stps_state_79,WV,USA,Virginia Occidental
stps_state_80,WA,USA,Washington
stps_state_81,WI,USA,Wisconsin
stps_state_82,WY,USA,Wyoming
stps_state_83,ON,CAN,Ontario 
stps_state_84,QC,CAN, Quebec 
stps_state_85,NS,CAN, Nueva Escocia
stps_state_86,NB,CAN,Nuevo Brunswick 
stps_state_87,MB,CAN, Manitoba
stps_state_88,BC,CAN, Columbia Británica
stps_state_89,PE,CAN, Isla del Príncipe Eduardo
stps_state_90,SK,CAN, Saskatchewan
stps_state_91,AB,CAN, Alberta
stps_state_92,NL,CAN, Terranova y Labrador
stps_state_93,NT,CAN, Territorios del Noroeste
stps_state_94,YT,CAN, Yukón
stps_state_95,UN,CAN, Nunavut
